rep,id,rho,K,kappa1,kappa2,theta,X0,Y0
7,13,0.0898589,1.00025e+09,5.98257e-09,3.17241e-11,1.00024e-05,1.30024e+08,7.00184e+06
8,13,0.0902682,1.0001e+09,5.9872e-09,3.26364e-11,1.00081e-05,1.30045e+08,6.97951e+06
9,13,0.086325,9.99507e+08,5.98833e-09,3.21859e-11,1.00018e-05,1.29998e+08,6.98084e+06
10,13,0.0904458,1.00011e+09,5.98554e-09,3.28428e-11,1.00054e-05,1.30015e+08,6.95555e+06
1,14,0.063044,9.99937e+08,5.98925e-09,3.21859e-11,1.00046e-05,1.29998e+08,6.97792e+06
2,14,0.062843,9.9978e+08,5.97743e-09,3.21859e-11,1.00007e-05,1.30023e+08,6.97872e+06
3,14,0.0651095,1.00004e+09,5.99499e-09,3.08222e-11,1.00019e-05,1.30013e+08,6.97934e+06
4,14,0.0614534,9.99579e+08,5.98489e-09,3.11632e-11,9.99865e-06,1.30023e+08,6.97018e+06
5,14,0.0620484,9.99412e+08,5.98185e-09,3.155e-11,1.00062e-05,1.29979e+08,6.97808e+06
6,14,0.0641106,9.9983e+08,5.98674e-09,3.17571e-11,1.00044e-05,1.30022e+08,6.98029e+06
7,14,0.0596031,9.99617e+08,5.99145e-09,3.11167e-11,1.00038e-05,1.30032e+08,6.95236e+06
8,14,0.0604259,9.99964e+08,5.99019e-09,3.05242e-11,1.00009e-05,1.2999e+08,6.98312e+06
9,14,0.065028,1.00024e+09,5.99215e-09,3.2919e-11,9.99694e-06,1.29985e+08,6.98742e+06
10,14,0.0609756,9.99734e+08,5.99063e-09,3.10577e-11,9.9937e-06,1.30028e+08,6.9692e+06
