rep,id,eta_rho,eta_K,eta_kappa1,eta_kappa2,eta_theta,eta_X0,eta_Y0
4,10,-0.0875766,0.000266762,0.000341195,3.08853e-12,-0.000361246,-3.27615e-06,0.00155712
5,10,-0.0936252,4.20715e-05,0.0012108,3.97648e-12,-8.49831e-05,-0.000130304,-0.00044895
6,10,-0.0757868,-1.89418e-05,0.000554496,2.48928e-12,-0.000286877,8.53713e-05,0.00193561
7,10,-0.0793255,0.000192507,0.0011159,3.8122e-12,-9.39505e-05,-4.30145e-06,0.00126986
8,10,-0.0676344,-0.000207311,-0.000595136,3.09337e-12,0.000319106,-0.00023628,0.00168186
9,10,-0.116377,5.12323e-05,0.00230739,1.06891e-12,-0.000674742,-4.91728e-05,-0.00190475
10,10,-0.0764755,8.32405e-05,0.000453666,2.23373e-12,-0.000399478,0.000378826,0.00238278
1,11,-0.121727,2.22653e-05,-0.00179188,-1.34334e-11,0.000373124,7.71928e-05,-0.00149587
2,11,-0.137282,-0.00030303,0.000966056,-1.40458e-11,-0.000378723,0.00022594,-8.40835e-05
3,11,-0.200293,5.3269e-05,0.000565504,-1.90938e-11,-0.000625514,0.000354858,-0.00309448
4,11,-0.166112,3.12032e-05,0.00106489,-1.6949e-11,0.000636106,-0.000115216,0.00230792
5,11,-0.174297,-0.000139884,0.00104727,-1.62409e-11,-0.0006897,-0.000116133,-0.00151125
6,11,-0.198847,9.24658e-05,-9.72925e-05,-1.80462e-11,-0.000390768,-0.000196656,-0.000992186
7,11,-0.144264,0.000238998,2.06181e-05,-1.38676e-11,-0.000254729,6.0681e-06,0.00150864
8,11,-0.149283,-0.00019603,0.000435715,-1.50012e-11,-0.000199103,-1.50737e-05,0.00124123
9,11,-0.16501,8.96915e-05,-0.00148783,-1.74444e-11,-0.000354741,-0.000188828,0.00161558
10,11,-0.195267,-0.000292151,-0.000163545,-1.84767e-11,-0.000474862,-0.000176206,-0.00146508
1,12,-0.5527,0.000533791,-0.000311764,2.58932e-11,-0.0007306,-0.000290585,0.000474739
2,12,-0.565636,-8.81329e-05,-0.00165486,2.54116e-11,9.88192e-05,0.000351551,-0.00230235
3,12,-0.485026,0.000207467,-0.00193795,2.90389e-11,0.000307357,0.000113301,0.00370904
4,12,-0.55954,0.000317186,-0.002277,2.64229e-11,-0.000317366,0.00027143,0.000513949
5,12,-0.557232,-6.02957e-05,0.000227366,2.63924e-11,0.000243294,-0.000281879,0.00147674
6,12,-0.544637,8.54141e-06,0.00165249,2.65197e-11,0.000295228,-0.000121131,-0.000112939
7,12,-0.630556,-0.000203173,-0.000531955,2.07159e-11,-0.000189444,0.000174665,0.00211261
8,12,-0.576099,-0.000105701,-0.000516079,2.30707e-11,0.00014475,-0.00028483,-0.000755224
9,12,-0.545625,6.27e-05,-0.000509542,2.45173e-11,-0.00074341,-3.71114e-05,-0.000790045
10,12,-0.509207,0.00014541,-7.38918e-06,3.00488e-11,0.000357316,0.000143635,-0.0013833
1,13,0.464555,0.00031236,2.85851e-05,-1.30282e-12,0.000650923,0.000192904,-0.000764564
2,13,0.427666,0.000162599,-0.000200753,3.96912e-13,-0.000380533,0.000193387,-0.000165777
3,13,0.415687,1.87935e-05,-0.0010824,-8.59555e-13,-0.000757572,0.000118949,0.00111043
4,13,0.427078,4.50223e-05,0.000856986,7.67281e-14,0.000367286,-0.000172298,-0.00174749
5,13,0.487681,0.000176757,-0.00106642,-8.05899e-13,0.000236617,2.98384e-05,0.00205382
6,13,0.460565,0.000219952,-5.97768e-05,0,2.45498e-05,-0.000274149,-0.000618138
7,13,0.441673,0.0003092,-0.00125574,-4.61757e-13,0.000170751,1.65906e-05,0.00391981
8,13,0.446217,0.000157981,-0.000482036,4.50504e-13,0.000744919,0.000182629,0.000726661
9,13,0.401552,-0.000435314,-0.000292163,0,0.00010922,-0.000184576,0.000916712
