rep,id,rP,nC,e,KP,rTA,Kr,KA,lTA,kA,lTN,rN,km,kb,KN,nP0,nTA0,nTN0,nN0
2,4,0.0107902,917.005,19.0717,107.745,1.21794,52.6638,70.8255,0.114676,0.41378,0.0855739,0.120758,6.16606e-05,7.06226,5614.93,2200.23,49.9979,16.5,23.4246
3,4,0.121553,407865,54.7042,50.2564,3.64808,16.6507,15.7158,0.114683,1.20676,0.0855738,0.0937267,2.39796e-05,18.37,28949.8,2200.23,50.0026,16.5002,19.2718
4,4,0.0036687,883.686,44.2415,27.2844,3.09768,8.42016,0.369054,0.114669,0.993385,0.0855649,0.114074,2.00787e-06,9.67957,20098.6,2200.24,49.9992,16.5003,18.5123
5,4,0.348269,22581.6,18.2295,68.4829,1.42831,585.018,0.11192,0.114681,0.287779,0.0855469,0.0933431,6.04646e-06,12.0178,15056.1,2200.24,50.0003,16.4999,19.631
6,4,0.000759294,1671.44,13.1981,30.3911,0.867073,18.8975,12.1814,0.114682,0.284047,0.0855594,0.10371,8.92165e-05,5.34207,11017.7,2200.24,50.0028,16.5001,20.3245
7,4,0.0110533,921.888,19.0735,107.74,1.21754,52.5192,70.8174,0.114659,0.413793,0.0855718,0.121401,9.0931e-07,7.07732,5808.4,2200.23,49.998,16.5,22.5374
8,4,0.121065,140540,54.6732,50.2847,3.64842,16.7325,15.4305,0.114697,1.20599,0.0855663,0.0937886,0.000154384,17.5875,24820.4,2200.24,50.001,16.5,20.0271
9,4,0.00460753,925.649,44.2464,27.3039,3.09766,8.35383,0.332243,0.114683,0.992449,0.0855678,0.112962,6.34715e-08,9.14643,20561.9,2200.24,49.9977,16.4999,19.1922
10,4,0.348269,22674.4,18.228,68.3958,1.42811,585.333,0.116505,0.114684,0.287804,0.0855626,0.0923005,3.6009e-06,13.6739,14656.2,2200.25,49.9961,16.5,19.8459
1,5,0.00210125,10108,32.8387,25.075,1.97166,3.65307,0.176472,0.114334,0.636745,0.107482,0.0918591,1.2962e-06,10.5999,15224.7,2200.23,49.9982,16.5001,20.1519
2,5,0.0268755,1620.8,14.8895,0.555194,1.10368,137.568,2.33231,0.114304,0.314957,0.107483,0.100309,6.42836e-06,2.19994,25035.7,2200.24,50.0031,16.5,19.433
3,5,0.0792981,13721.8,16.3502,26.222,0.977413,53.4761,3.09547,0.114333,0.298643,0.107501,0.0909562,0.000178968,3.66426,23610.3,2200.23,50.0004,16.4999,19.2849
4,5,0.00824365,7223.64,26.2921,10.9867,1.73863,34.8347,27.6961,0.114333,0.570195,0.107509,0.0916107,5.28756e-05,8.05489,16160.9,2200.25,50.0002,16.5001,20.0293
5,5,0.013845,986.373,24.036,5.63054,1.67397,59.1127,0.0060161,0.114324,0.506042,0.1075,0.106677,3.15832e-06,9.10705,8803.29,2200.24,49.9999,16.5,18.8505
6,5,0.00109774,10535.1,32.851,25.1056,1.97301,3.69531,0.156323,0.114317,0.636405,0.107497,0.0941835,1.80656e-06,8.81403,14470,2200.24,50.0033,16.4999,20.553
7,5,0.00463228,1600.44,14.8872,0.669218,1.10358,137.826,2.82958,0.114328,0.315066,0.107496,0.101251,1.05095e-05,2.24272,26113.5,2200.24,50.0035,16.4999,18.4669
8,5,0.0792981,13363.8,16.3526,26.1635,0.977759,53.5004,3.06919,0.114316,0.298812,0.107495,0.0908675,1.99493e-05,3.51299,27141.1,2200.25,49.9994,16.5,19.5076
9,5,0.00803416,10131.6,26.3028,11.0166,1.7394,35.0187,27.1051,0.114325,0.569893,0.107501,0.0926686,0.000110447,7.76087,14787,2200.24,50.0015,16.5,20.3123
